"Product","Region","Markettype","Price"
"1","0","0","10.85"
"177","0","0","6.52"
"178","0","0","7.6"
"180","0","0","6.52"
"182","0","0","10.85"
"12","0","0","7.32"
"184","0","0","11.8"
"186","0","0","12.02"
"64","0","0","7.54"
"187","0","0","10.92"
"65","0","0","6.57"
"189","0","0","6.93"
"179","0","0","12.12"
"73","0","0","7.6"
"74","0","0","10.85"
"75","0","0","6.52"
"185","0","0","12.02"
"76","0","0","7.54"
"190","0","0","5.57"
"181","0","0","9"
"144","0","0","30"
"52","0","0","12.5"
"173","0","0","6.1"
"94","0","0","12.99"
"90","0","0","4.8"
"3","0","0","5.9"
"25","0","0","3.7"
"54","0","0","9.5"
"22","0","0","20.5"
"192","0","0","19.9"
"193","0","0","19.9"
"34","0","0","19.9"
"71","0","0","6"
"72","0","0","7.3"
"157","0","0","7.3"
"146","0","0","6.99"
"227","0","0","5.9"
"208","0","0","11.9"
"107","0","0","7.7"
"69","0","0","14.8"
"97","0","0","7.9"
"164","0","0","7.99"
"128","0","0","26"
"231","0","0","12.9"
"147","0","0","6.75"
"35","0","0","9.9"
"57","0","0","9.3"
"210","0","0","11"
"209","0","0","5.5"
"15","0","0","15.76"
"85","0","0","7.99"
"122","0","0","9"
"217","0","0","11.99"
"214","0","0","11.99"
"215","0","0","11.99"
"216","0","0","11.99"
"213","0","0","4.55"
"212","0","0","4.55"
"133","0","0","49"
"16","0","0","17.3"
"170","0","0","14.5"
"169","0","0","15"
"165","0","0","8.85"
"6","0","0","31"
"156","0","0","9.99"
"77","0","0","12.1"
"41","0","0","3.99"
"140","0","0","2.67"
"161","0","0","5.5"
"95","0","0","7.4"
"92","0","0","7"
"162","0","0","6.5"
"47","0","0","3.5"
"24","0","0","4.84"
"159","0","0","4.4"
"26","0","0","13.4"
"160","0","0","5.4"
"158","0","0","6.2"
"44","0","0","12.5"
"112","0","0","9.2"
"36","0","0","12.5"
"113","0","0","9.2"
"224","0","0","3"
"236","0","0","64"
"237","0","0","73"
"234","0","0","39"
"235","0","0","55"
"114","0","0","22"
"106","0","0","5.79"
"91","0","0","7.99"
"88","0","0","6.35"
"93","0","0","7.27"
"99","0","0","30.37"
"134","0","0","12"
"100","0","0","8.55"
"126","0","0","8.55"
"11","0","0","5.5"
"9","0","0","10.6"
"10","0","0","5.5"
"14","0","0","7.89"
"171","0","0","8"
"13","0","0","4.2"
"59","0","0","9.4"
"58","0","0","9.4"
"108","0","0","14.54"
"188","0","0","90"
"42","0","0","7.75"
"118","0","0","7.5"
"43","0","0","9.5"
"117","0","0","2.9"
"201","0","0","1.6"
"200","0","0","1.6"
"27","0","0","1.6"
"2","0","0","1.6"
"199","0","0","1.6"
"198","0","0","1.6"
"228","0","0","6.9"
"203","0","0","9.9"
"204","0","0","4.5"
"205","0","0","6"
"232","0","0","7.9"
"40","0","0","5.17"
"60","0","0","4.59"
"79","0","0","7.2"
"123","0","0","7.2"
"124","0","0","6.9"
"80","0","0","6.9"
"78","0","0","11.66"
"98","0","0","29.9"
"86","0","0","8.36"
"172","0","0","8.99"
"148","0","0","11"
"23","0","0","11.29"
"61","0","0","8.75"
"191","0","0","6.99"
"120","0","0","4.39"
"116","0","0","5.14"
"87","0","0","10.9"
"81","0","0","11.5"
"149","0","0","11.15"
"207","0","0","3.99"
"230","0","0","3.5"
"135","0","0","36"
"83","0","0","7.3"
"163","0","0","7.9"
"183","0","0","18.9"
"18","0","0","14.55"
"7","0","0","13"
